Q: On the table, there are two orange pairs of sunglasses, two black pairs of sunglasses, three black scrunchiephone chargers, three white scrunchiephone chargers, one orange keychain, two white pairs of sunglasses, and one black keychain. If I remove all the keychains from the table, how many orange things remain on it?
Options:
(A) zero
(B) one
(C) two
(D) three
(E) four
(F) five
(G) six
(H) seven
(I) eight
(J) nine
(K) ten
(L) eleven
(M) twelve
(N) thirteen
(O) fourteen
(P) fifteen
(Q) sixteen
A: (C)
